caso_id,mensaje_id,indice_cd,fecha_ts,cuerpo_mensaje_tx,actor,conversacion_id
13467703,69222608,2,2024-09-02 16:59:09,42307388 - #CLIENTE VALIDADO#,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69222676,3,2024-09-02 16:59:36,Dale,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69223054,4,2024-09-02 17:02:25,Hola Cristian. ¿Cómo estás? Mi nombre es Milena es un placer atenderte el día de hoy.,CAD,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69223057,5,2024-09-02 17:02:25,Veo que tenés inconvenientes con tus claves de acceso. ¿Pudiste acercarte a sucursal para hacer la verificación de los datos? Te espero.,CAD,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69223113,6,2024-09-02 17:02:55,Hola Milena,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69223191,7,2024-09-02 17:03:27,No puedo acercarme porque tuve un accidente y no puedo andar,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69224060,8,2024-09-02 17:10:59,Hay otra solución??,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69224223,9,2024-09-02 17:12:25,Comprendo lo que me indicas y lamento la situación. Veo que anteriormente tampoco pudiste hacerlas desde la App con reconocimiento facial. ¿Pudiste validar si tenés la App actualizada a la última versión?,CAD,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69224352,10,2024-09-02 17:13:38,Si si lo e descargado mil veces pero me sigue saliendo que están teniendo un problema y que lo intente más tarde,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69224378,11,2024-09-02 17:13:51,Pero eso viene hace un mes por lo menos,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69225128,12,2024-09-02 17:20:22,Lo acabo de hacer nuevamente y no se puede,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69225492,13,2024-09-02 17:23:10,De acuerdo veo que tu tarjeta de débito está activa. ¿La tenés con vos?,CAD,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69225721,14,2024-09-02 17:24:49,Si tengo una que es rosada  es esa??,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69227388,15,2024-09-02 17:40:49,¿Me confirmarías los últimos 4 dígitos de la misma? ¿Existe la posibilidad de que te llegues a un cajero?,CAD,2be02be1-d520-4bbd-ba49-a303cd4603a4
13467703,69227440,16,2024-09-02 17:41:24,4784,Cliente,2be02be1-d520-4bbd-ba49-a303cd4603a4
